index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,6.272,7.307,. all right.,0,,
1,0.97,7.307,9.676,Thank you so much.,0,,
2,0.97,9.676,16.85,"The August 10, 2020 meeting of the city council meeting will begin.",0,,
3,0.97,16.85,17.951,It is 2:01 P.M.,0,,
4,0.97,17.951,23.256,Will the clerk please call the role.,0,,
5,0.97,23.256,49.082,[calling roll].,0,,
6,0.97,49.082,50.483,Thank you.,1,,
7,0.97,50.483,74.808,"As I mentioned in the select budget committee we will need to take a little bit more time before we begin today's meeting in order to provide our clerk staff, other staff and our Council staff the time necessary in order to process all of the Amendatory work that just finished up and concluded close to 1:30 P.M.",1,,
8,0.97,74.808,90.123,"So they just need a little bit more time to be able to push things out into our system, the system that documents and records all the Legislature actions we take.",1,,
9,0.97,90.123,132.031,"So I appreciate the public's and colleague's patience in allowing staff and our legislative clerk staff an opportunity to do the administrative and process work necessary in order to make sure that the bills we are voting on this afternoon are reflective of the actions that we just took in our select budget committee so they have asked for a need for 45 minutes to be able to do that work so if there is no objection, this meeting will be in Recess for 45 minutes.",1,,
10,0.97,132.031,133.433,Okay.,1,,
11,0.97,133.433,134.234,Colleagues hearing no objection.,1,,
12,0.97,134.234,139.606,This meeting is in Recess until 2:45 P.M.,1,,
13,0.97,139.606,148.948,At that time I ask that all of you log back in at least 5 minutes before so we could get the meeting started at 2:45 P.M.,1,,
14,0.97,148.948,149.983,We are in Recess.,1,,
15,0.97,149.983,150.216,Thank you.,1,,
16,0.97,164.931,165.064,.,1,,
17,0.97,165.064,167.667,Let's go ahead and get the meeting started.,2,,
18,0.97,167.667,169.736,We are now recording.,2,,
19,0.97,169.736,178.011,"The August 10, 2020, meeting of the Seattle city council will come back to order.",2,,
20,0.97,178.011,178.411,It is 2:45 P.M.,2,,
21,0.97,178.411,180.813,We will do role call one more time.,2,,
22,0.97,180.813,190.79,"I will ask the clerk, please, call the role.",2,,
23,0.97,190.79,208.508,[calling role].,2,,
24,0.97,208.508,211.277,"Presentations, I am not aware of presentations.",3,,
25,0.97,211.277,214.013,We will move to approval of the minutes.,3,,
26,0.97,214.013,223.056,"The minutes of the city council meetings of July 27 and August 3, 2020, have been reviewed.",3,,
27,0.97,223.056,225.959,"No objection, the minutes are being signed.",3,,
28,0.97,225.959,234.567,I would ask the clerk please affix my signature to the minutes.,3,,
29,0.97,234.567,238.404,Adoption of the referral calendar.,3,,
30,0.97,238.404,249.916,There will be an amendment so we will go ahead and go through process of putting the introduction referral calendar before us.,3,,
31,0.97,249.916,262.295,I will move to adopt the proposed introduction and referral calendar.,3,,
32,0.97,262.295,262.629,Thank you.,3,,
33,0.97,262.629,264.831,The introduction and referral calendar.,3,,
34,0.97,264.831,272.405,"Councilmember Lewis you have an amendment, I will right you in order to allow you to move the amendment.",3,,
35,0.97,272.405,272.872,Thank you.,4,,
36,0.97,272.872,291.324,"I move that we amendment the referral calendar by introducing resolution, policing and public safety, establishing the intent to create a civilian lead community and violence prevention.",4,,
37,0.97,291.324,300.433,Identifying actions in 2020 to remove certain functions from the Seattle police Department and provide funding for a community led process.,4,,
38,0.97,300.433,331.197,"Requesting modifications to the policing practices, requesting reporting to the Council, providing guidance on layoff decisions and establishing a work program and time line for creating a new Department and by referring it to the city Council, in addition I want to recognize co-sponsors of the resolution.",4,,
39,0.97,331.197,332.231,Thank you.,5,,
40,0.97,332.231,332.865,Councilmember Lewis.,5,,
41,0.97,332.865,334.801,Is there a second?,5,,
42,0.97,334.801,335.568,Second.,6,,
43,0.97,335.568,350.516,It has been moved and Seconded to amendment the referral calendar to introduce 311962.,7,,
44,0.97,350.516,353.252,After agenda item 11.,7,,
45,0.97,353.252,362.395,Are there any comments on this proposed amendment to the introduction and referral calendar?,7,,
46,0.97,362.395,363.896,Hearing none.,8,,
47,0.97,363.896,373.106,Will the clerk please call the role.,8,,
48,0.97,373.106,383.382,[calling role],8,,
49,0.97,386.252,390.99,"Thank you, Madam clerk.",9,,
50,0.97,390.99,391.424,The motion carries.,9,,
51,0.97,391.424,394.394,The introduction and referral calendar are amended.,9,,
52,0.97,394.394,398.931,Are there any further comments?,9,,
53,0.97,398.931,410.777,Hearing none I would ask the clerk please call the role on the amended introduction and referral calendar.,9,,
54,0.97,414.614,414.981,[calling role],9,,
55,0.97,422.855,424.724,"8 in favor, none opposed.",10,,
56,0.97,424.724,426.359,Thank you so much.,11,,
57,0.97,426.359,427.693,The motion carries.,11,,
58,0.97,427.693,431.43,The introduction and referral calendar is adopted as amended.,11,,
59,0.97,431.43,434.267,We will move on to approval of the agenda.,11,,
60,0.97,434.267,444.177,If there is no objection the agenda will be adopted.,11,,
61,0.97,444.177,444.677,Hearing no objection.,11,,
62,0.97,444.677,446.312,The agenda will be adopted.,11,,
63,0.97,446.312,455.454,We will open up the remote public comment period.,11,,
64,0.97,455.454,457.69,And the 2020 work program.,11,,
65,0.97,457.69,478.211,"I thank you for patience as we continue to learn to operate the system, including changes made by the platform in real time and in--their understanding in our need to navigate through the growing pangs associated with those ongoing changes.",11,,
66,0.97,478.211,486.452,We are looking for ways to fine tune this remote process.,11,,
67,0.97,486.452,503.135,"It remains the intent to have public comment on meeting Agendas however, the city council reserves the right to end the public comment period if the system being abused or no longer suitable.",11,,
68,0.97,503.135,507.373,And in a manner in which we are able to conduct our necessary business.,11,,
69,0.97,507.373,511.511,I will moderate the public comment period for today.,11,,
70,0.97,511.511,519.185,The public comment period for this meeting was scheduled to be 20 minutes.,11,,
71,0.97,519.185,526.259,We have quite a bit more public speakers than that.,11,,
72,0.97,526.259,532.798,So I am going to go ahead and extend the public meeting in advance.,11,,
73,0.97,532.798,553.152,We have about--I would say 40 or so speakers so I think we can get through our public comment period in about an hour but I am going to go ahead and say that we will hear public comment for up to 75 minutes to allow for transition time between each Speaker.,11,,
74,0.97,553.152,558.457,I will call each Speaker by name.,11,,
75,0.97,558.457,565.731,Each Speaker will be given 60 seconds or one minute to provide us with their public comment.,11,,
76,0.97,565.731,580.413,If you have not registered to speak but would like to you can sign up by going to the city council's Website.,11,,
77,0.97,580.413,588.02,The link is also listed on today's agenda.,11,,
78,0.97,588.02,594.894,Staff will Unmute the appropriate microphone and you will hear a tune that says you have been Unmuted.,11,,
79,0.97,594.894,613.446,"Each caller, this is new, I need those who registered to pay attention to this direction, if you are getting the Cue you have been Unmuted you need press Star 6 to confirm that you have been Unmuted when your name is called.",11,,
80,0.97,613.446,623.556,"I will not be able to hear you, we will not be able to hear you until you hit Star 6 on your end.",11,,
81,0.97,623.556,635.835,I will remind folks periodically as we go through public comment so that folks understand a lot to do once their name is being called.,11,,
82,0.97,635.835,642.375,That is a change by the zoom platform.,11,,
83,0.97,642.375,648.648,Not instituted by us.,11,,
84,0.97,648.648,648.848,Okay.,11,,
85,0.97,648.848,652.752,Please state your name and the item you are addressing.,11,,
86,0.97,652.752,657.923,Public comment should relate to an item on today's agenda.,11,,
87,0.97,657.923,666.399,Each Speaker will hear a Chime when 10 seconds are left of the allotted time.,11,,
88,0.97,666.399,669.301,Once you hear that Chime wrap up your comments.,11,,
